# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
#                                                   Alberto Garcia, May 2012
#                                         Nick Papior, April 2013, July 2016
# --------------------------------------------------------------------------
# Bands for all spins
# E_F               =    -3.8476
# k_min, k_max      =     0.0000    2.8186
# E_min, E_max      =     -1e30       1e30
# Nbands, Nspin, Nk =     52     2   501
# Using min_band, max_band =      1    52
# Total number of bands =     52
#
#        k            E[eV]
# --------------------------------------------------------------------------

      0.000000    -25.255700  1
      0.003637    -25.255700  1
      0.007275    -25.255600  1
      0.010912    -25.255400  1
      0.014550    -25.255200  1
      0.018187    -25.254900  1
      0.021824    -25.254600  1
      0.025462    -25.254200  1
      0.029099    -25.253800  1
      0.032737    -25.253300  1
      0.036374    -25.252700  1
      0.040012    -25.252100  1
      0.043649    -25.251400  1
      0.047286    -25.250700  1
      0.050924    -25.249900  1
      0.054561    -25.249000  1
      0.058199    -25.248100  1
      0.061836    -25.247200  1
      0.065473    -25.246200  1
      0.069111    -25.245100  1
      0.072748    -25.244000  1
      0.076386    -25.242800  1
      0.080023    -25.241600  1
      0.083661    -25.240400  1
      0.087298    -25.239100  1
      0.090935    -25.237700  1
      0.094573    -25.236300  1
      0.098210    -25.234900  1
      0.101848    -25.233400  1
      0.105485    -25.231900  1
      0.109122    -25.230300  1
      0.112760    -25.228700  1
      0.116397    -25.227000  1
      0.120035    -25.225400  1
      0.123672    -25.223600  1
      0.127310    -25.221900  1
      0.130947    -25.220100  1
      0.134584    -25.218300  1
      0.138222    -25.216500  1
      0.141859    -25.214600  1
      0.145497    -25.212700  1
      0.149134    -25.210800  1
      0.152771    -25.208900  1
      0.156409    -25.206900  1
      0.160046    -25.204900  1
      0.163684    -25.202900  1
      0.167321    -25.200900  1
      0.170959    -25.198900  1
      0.174596    -25.196900  1
      0.178233    -25.194900  1
      0.181871    -25.192800  1
      0.185508    -25.190800  1
      0.189146    -25.188700  1
      0.192783    -25.186700  1
      0.196420    -25.184600  1
      0.200058    -25.182600  1
      0.203695    -25.180500  1
      0.207333    -25.178500  1
      0.210970    -25.176500  1
      0.214608    -25.174500  1
      0.218245    -25.172500  1
      0.221882    -25.170500  1
      0.225520    -25.168500  1
      0.229157    -25.166600  1
      0.232795    -25.164700  1
      0.236432    -25.162800  1
      0.240069    -25.160900  1
      0.243707    -25.159100  1
      0.247344    -25.157200  1
      0.250982    -25.155500  1
      0.254619    -25.153700  1
      0.258257    -25.152000  1
      0.261894    -25.150300  1
      0.265531    -25.148700  1
      0.269169    -25.147100  1
      0.272806    -25.145600  1
      0.276444    -25.144100  1
      0.280081    -25.142600  1
      0.283718    -25.141200  1
      0.287356    -25.139900  1
      0.290993    -25.138600  1
      0.294631    -25.137300  1
      0.298268    -25.136100  1
      0.301906    -25.135000  1
      0.305543    -25.133900  1
      0.309180    -25.132900  1
      0.312818    -25.131900  1
      0.316455    -25.131000  1
      0.320093    -25.130200  1
      0.323730    -25.129400  1
      0.327367    -25.128700  1
      0.331005    -25.128000  1
      0.334642    -25.127500  1
      0.338280    -25.127000  1
      0.341917    -25.126500  1
      0.345555    -25.126100  1
      0.349192    -25.125800  1
      0.352829    -25.125600  1
      0.356467    -25.125400  1
      0.360104    -25.125300  1
      0.363742    -25.125300  1
      0.370403    -25.125000  1
      0.377064    -25.124000  1
      0.383725    -25.122500  1
      0.390386    -25.120300  1
      0.397047    -25.117500  1
      0.403708    -25.114100  1
      0.410369    -25.110100  1
      0.417030    -25.105500  1
      0.423691    -25.100200  1
      0.430352    -25.094400  1
      0.437013    -25.087900  1
      0.443674    -25.080800  1
      0.450335    -25.073100  1
      0.456996    -25.064800  1
      0.463657    -25.055900  1
      0.470318    -25.046400  1
      0.476979    -25.036300  1
      0.483641    -25.025600  1
      0.490302    -25.014300  1
      0.496963    -25.002400  1
      0.503624    -24.989900  1
      0.510285    -24.976900  1
      0.516946    -24.963300  1
      0.523607    -24.949100  1
      0.530268    -24.934300  1
      0.536929    -24.919000  1
      0.543590    -24.903200  1
      0.550251    -24.886800  1
      0.556912    -24.869900  1
      0.563573    -24.852500  1
      0.570234    -24.834500  1
      0.576895    -24.816100  1
      0.583556    -24.797100  1
      0.590217    -24.777600  1
      0.596878    -24.757700  1
      0.603539    -24.737300  1
      0.610200    -24.716500  1
      0.616862    -24.695200  1
      0.623523    -24.673400  1
      0.630184    -24.651300  1
      0.636845    -24.628700  1
      0.643506    -24.605700  1
      0.650167    -24.582400  1
      0.656828    -24.558700  1
      0.663489    -24.534600  1
      0.670150    -24.510200  1
      0.676811    -24.485400  1
      0.683472    -24.460400  1
      0.690133    -24.435100  1
      0.696794    -24.409500  1
      0.703455    -24.383600  1
      0.710116    -24.357500  1
      0.716777    -24.331300  1
      0.723438    -24.304800  1
      0.730099    -24.278100  1
      0.736760    -24.251400  1
      0.743421    -24.224500  1
      0.750083    -24.197500  1
      0.756744    -24.170400  1
      0.763405    -24.143300  1
      0.770066    -24.116200  1
      0.776727    -24.089100  1
      0.783388    -24.062000  1
      0.790049    -24.035000  1
      0.796710    -24.008200  1
      0.803371    -23.981400  1
      0.810032    -23.954900  1
      0.816693    -23.928500  1
      0.823354    -23.902400  1
      0.830015    -23.876600  1
      0.836676    -23.851000  1
      0.843337    -23.825900  1
      0.849998    -23.801100  1
      0.856659    -23.776700  1
      0.863320    -23.752800  1
      0.869981    -23.729400  1
      0.876642    -23.706600  1
      0.883304    -23.684400  1
      0.889965    -23.662700  1
      0.896626    -23.641800  1
      0.903287    -23.621500  1
